Date,World,Africa,Asia,Europe,North_America,Oceania,South_America
2020-06-01,409812,4343,31349,188100,128106,125,57789
2020-06-02,415076,4493,31897,188865,129640,125,60056
2020-06-03,420696,4601,32543,189601,131827,125,61999
2020-06-04,426223,4756,33121,190245,133755,125,64221
2020-06-05,431280,4913,33773,190950,135373,125,66146
2020-06-06,435420,5055,34429,191552,136455,125,67804
2020-06-07,438677,5188,35084,192018,137183,125,69079
2020-06-08,443131,5363,35741,192541,138114,125,71247
2020-06-09,448176,5537,36400,193192,139701,125,73221
2020-06-10,453604,5688,37172,193872,141367,125,75380
2020-06-11,458744,5851,37998,194377,142851,125,77542
2020-06-12,463488,6049,38728,194918,144249,125,79419
2020-06-13,467880,6253,39468,195362,145454,125,81218
2020-06-14,471660,6459,40342,195756,146138,125,82840
2020-06-15,475726,6761,41250,196159,147057,125,84374
2020-06-16,482845,7015,43774,196773,148633,125,86525
2020-06-17,488321,7218,44652,197396,150222,125,88708
2020-06-18,493675,7419,45558,197933,151644,125,90996
2020-06-19,500036,7682,46506,199554,153014,125,93155
2020-06-20,504518,7918,47359,199978,154064,125,95074
2020-06-21,509160,8114,48338,200253,155493,125,96837
2020-06-22,513026,8338,49145,200558,156730,125,98130
2020-06-23,518593,8620,50098,201117,158349,126,100283
2020-06-24,524090,8855,51115,201529,160143,127,102321
2020-06-25,529198,9069,52075,201907,161523,127,104497
2020-06-26,534279,9282,53010,202406,163007,127,106447
2020-06-27,539013,9484,53947,202764,164202,127,108489
2020-06-28,542626,9663,54833,203054,164855,127,110094
2020-06-29,546699,9877,55857,203364,165776,127,111698
2020-06-30,551949,10146,56972,203845,167070,127,113789
2020-07-01,557288,10404,58007,204302,168643,127,115805
2020-07-02,562792,10643,58981,204724,170208,127,118109
2020-07-03,568034,10882,59920,205152,171652,127,120301
2020-07-04,572824,11083,61098,205499,172599,127,122418
2020-07-05,576650,11363,62273,205776,173280,129,123829
2020-07-06,580920,11610,63353,206101,174255,129,125472
2020-07-07,587276,11975,64522,206552,176398,129,127700
2020-07-08,592901,12232,65601,206977,178141,129,129821
2020-07-09,598743,12457,66724,207391,180020,129,132022
2020-07-10,604481,12763,67844,207781,181653,130,134310
2020-07-11,609607,12988,68986,208137,183069,131,136296
2020-07-12,613917,13241,70361,208377,183922,131,137885
2020-07-13,618343,13463,71514,208654,184942,131,139639
2020-07-14,624313,13762,72681,209024,186802,134,141910
2020-07-15,630235,13988,73924,209457,188484,136,144246
2020-07-16,636401,14356,75203,209821,190244,139,146638
2020-07-17,643415,14672,76556,210197,192034,141,149815
2020-07-18,649940,14953,78458,210459,193630,145,152295
2020-07-19,654848,15169,80180,210654,194513,146,154186
2020-07-20,658788,15423,81373,210903,195457,149,155483
2020-07-21,665143,15737,82663,211251,197603,151,157738
2020-07-22,672537,16445,84489,211615,199737,156,160095
2020-07-23,679186,16713,86017,211956,201654,162,162684
2020-07-24,685622,17104,87357,212295,203659,168,165039
2020-07-25,691701,17521,88635,212565,205492,178,167310
2020-07-26,696078,17765,89951,212779,206439,184,168960
2020-07-27,701373,18175,91158,212996,208050,190,170804
2020-07-28,708301,18497,92712,213321,210258,199,173314
2020-07-29,714946,18864,94011,213714,212357,213,175787
2020-07-30,721701,19317,95366,214034,214455,221,178308
2020-07-31,728273,19680,96722,214399,216457,227,180788
2020-08-01,734276,19974,98105,214637,218482,234,182844
2020-08-02,738939,20304,99652,214836,219317,247,184583
2020-08-03,743762,20626,101021,215124,220227,258,186506
2020-08-04,750923,21099,102442,215480,222459,273,189170
2020-08-05,758312,21638,103919,215841,224843,281,191790
2020-08-06,765130,22069,105309,216160,227001,293,194298
2020-08-07,771877,22508,106732,216477,229216,305,196639
2020-08-08,777904,22920,108087,216783,231117,322,198675
2020-08-09,783086,23279,109957,216992,232101,340,200417
2020-08-10,788451,23598,111328,217320,233432,358,202415
2020-08-11,795053,23865,112701,217660,235514,379,204934
2020-08-12,801992,24274,114257,217984,237885,388,207204
2020-08-13,808777,24682,115765,218347,239652,402,209929
2020-08-14,815354,25098,117235,218680,241683,406,212252
2020-08-15,821377,25338,118784,219142,243454,423,214236
2020-08-16,826170,25633,120474,219342,244374,448,215899
2020-08-17,830803,25897,121841,219608,245206,465,217786
2020-08-18,837853,26312,123455,219960,247284,477,220365
2020-08-19,844250,26640,125029,220405,248797,490,222889
2020-08-20,850684,26977,126577,220743,250619,500,225268
2020-08-21,856426,27329,127582,221065,252333,513,227604
2020-08-22,862199,27603,128995,221357,254051,530,229663
2020-08-23,866523,27785,130471,221567,254858,545,231297
2020-08-24,871346,28005,131838,221840,255720,553,233390
2020-08-25,877905,28288,133335,222242,257691,577,235772
2020-08-26,884453,28607,135019,222495,259624,600,238108
2020-08-27,890662,28860,136659,222875,261386,612,240270
2020-08-28,896481,29091,138266,223209,262984,630,242301
2020-08-29,902259,29422,139746,223472,264720,641,244258
2020-08-30,906525,29586,141393,223686,265557,684,245619
2020-08-31,910946,29812,142709,224048,266398,689,247290
2020-09-01,917545,30054,144265,224473,268393,695,249665
2020-09-02,923838,30319,145862,224876,270141,710,251930
2020-09-03,929928,30616,147548,225260,271807,769,253928
2020-09-04,935766,30854,149168,225739,273367,780,255858
2020-09-05,940856,31079,150758,226073,274762,785,257399
2020-09-06,944984,31303,152453,226292,275467,794,258675
2020-09-07,954602,31521,154116,226623,276121,802,265419
2020-09-08,959725,31747,155783,227077,277405,813,266900
2020-09-09,965984,31939,157546,227497,279153,820,269029
2020-09-10,971981,32124,159377,227903,280756,829,270992
2020-09-11,977974,32355,161084,228326,282511,837,272861
2020-09-12,983028,32501,162862,228675,283744,844,274402
2020-09-13,986986,32622,164622,228939,284414,852,275537
2020-09-14,991586,32793,166517,229313,285165,852,276946
2020-09-15,998149,33070,168415,229942,287054,860,278808
2020-09-16,1004015,33249,170254,230651,288381,868,280612
2020-09-17,1009663,33428,172092,231275,289545,873,282450
2020-09-18,1015514,33621,173944,231932,291259,880,283878
2020-09-19,1020784,33823,175747,232337,292500,885,285492
2020-09-20,1024772,33956,177563,232650,293067,888,286648
2020-09-21,1029200,34082,179251,233136,293787,891,288053
2020-09-22,1035351,34322,181009,233907,295531,896,289686
2020-09-23,1041900,34531,182828,234596,297277,901,291767
2020-09-24,1047560,34706,184609,235192,298744,909,293400
2020-09-25,1053578,34860,186380,235884,300163,911,295380
2020-09-26,1059007,35028,188168,236469,301420,913,297009
2020-09-27,1062887,35163,189905,236856,301956,916,298091
2020-09-28,1067004,35457,191328,237448,302558,923,299290
2020-09-29,1073066,35674,193249,238040,304112,928,301063
2020-09-30,1079492,35863,195115,239043,305615,930,302926
2020-10-01,1088383,36080,196893,239811,307043,932,307624
2020-10-02,1094063,36229,198650,240641,308451,936,309156
2020-10-03,1098841,36340,200206,241243,309643,937,310472
2020-10-04,1102866,36510,201874,241712,310294,937,311539
2020-10-05,1109955,36638,203494,242378,313663,939,312843
2020-10-06,1115813,36826,205202,243466,314915,941,314463
2020-10-07,1121735,37095,206923,244409,316312,942,316054
2020-10-08,1128117,37393,208717,245328,317739,942,317998
2020-10-09,1134306,37629,210365,246393,319182,942,319795
2020-10-10,1139206,37900,211980,247179,320069,943,321135
2020-10-11,1143399,38108,213621,247881,320735,943,322111
2020-10-12,1147529,38301,215028,248830,321384,945,323041
2020-10-13,1152863,38572,216498,249957,322694,950,324192
2020-10-14,1159027,38835,218018,251292,324242,952,325688
2020-10-15,1165237,39089,219677,252605,325584,952,327330
2020-10-16,1171455,39296,221268,254058,327037,953,328843
2020-10-17,1177182,39561,223063,255217,328288,953,330100
2020-10-18,1181162,39746,224438,256201,328943,954,330880
2020-10-19,1186002,39930,225883,257511,329723,956,331999
2020-10-20,1192629,40228,227405,259306,331294,956,333440
2020-10-21,1199538,40480,228983,261133,333098,959,334885
2020-10-22,1205496,40696,230514,262966,334062,959,336299
2020-10-23,1212601,40920,232105,264985,335990,960,337641
2020-10-24,1218517,41143,233495,266711,337490,960,338718
2020-10-25,1222880,41259,234831,268023,338212,960,339595
2020-10-26,1228717,41607,236212,270107,339114,966,340711
2020-10-27,1236128,41789,237590,272836,340869,968,342076
2020-10-28,1243295,42135,239052,275333,342514,971,343290
2020-10-29,1250533,42337,240527,277980,344082,971,344636
2020-10-30,1258302,42629,241924,281049,345775,971,345954
2020-10-31,1264949,42853,243331,283636,347279,971,346879
2020-11-01,1270305,43175,244808,285757,347999,971,347595
2020-11-02,1276621,43389,246275,288503,348887,980,348587
2020-11-03,1286177,43705,247802,292904,351132,980,349654
2020-11-04,1296098,43940,249539,297582,352998,981,351058
2020-11-05,1304808,44244,251156,301250,354834,981,352343
2020-11-06,1313988,44467,252752,305683,356725,981,353380
2020-11-07,1321774,44845,254225,309045,358436,981,354242
2020-11-08,1328173,45360,255759,311744,359320,981,355009
2020-11-09,1335716,45609,257288,315472,360448,991,355908
2020-11-10,1345462,45950,258843,320346,362626,994,356703
2020-11-11,1355874,46282,260467,325295,364797,994,358039
2020-11-12,1365584,46551,262061,329579,366790,994,359609
2020-11-13,1375503,46831,263651,334477,368732,995,360817
2020-11-14,1384641,47066,265159,338367,370877,995,362177
2020-11-15,1391575,47362,266675,341653,372055,995,362835
2020-11-16,1399621,47641,268170,345694,373391,998,363727
2020-11-17,1410595,48034,269765,351292,375413,1003,365088
2020-11-18,1422040,48426,271536,356585,378056,1004,366433
2020-11-19,1433168,48702,273570,361419,380805,1004,367668
2020-11-20,1444909,49114,275258,367121,383628,1005,368783
2020-11-21,1454194,49428,276887,371340,385920,1005,369614
2020-11-22,1461853,49718,278635,374820,387382,1005,370293
2020-11-23,1470569,49987,280291,379214,388938,1010,371129
2020-11-24,1483078,50331,281998,385190,392087,1012,372460
2020-11-25,1495093,50646,283769,390597,395363,1012,373706
2020-11-26,1506013,50944,285555,395901,397555,1014,375044
2020-11-27,1517521,51264,287216,401791,399952,1015,376283
2020-11-28,1527020,51499,288884,406268,402069,1015,377285
2020-11-29,1534661,51723,290614,409822,403437,1016,378049
2020-11-30,1543698,51992,292249,414118,405282,1018,379039
2020-12-01,1556135,52250,293976,419812,408790,1019,380288
2020-12-02,1568525,52580,295629,425185,412535,1020,381576
2020-12-03,1581233,52847,297363,430824,416236,1021,382942
2020-12-04,1593702,53277,299013,436416,419755,1022,384219
2020-12-05,1604242,53564,300551,440853,422874,1022,385378
2020-12-06,1612316,53870,302095,444436,424682,1022,386211
2020-12-07,1621146,54118,303596,448389,426911,1022,387110
2020-12-08,1633165,54520,305223,453552,430481,1029,388360
2020-12-09,1645711,54870,306765,458915,434411,1033,389717
2020-12-10,1658118,55264,308315,464168,438221,1034,391116
2020-12-11,1671290,55662,309837,470013,442464,1035,392279
2020-12-12,1682107,55988,311292,474537,445822,1035,393433
2020-12-13,1690352,56334,312717,478257,447807,1035,394202
2020-12-14,1699540,56645,314184,482249,450106,1040,395316
2020-12-15,1712748,57072,315733,488104,454035,1041,396763
2020-12-16,1726667,57418,317201,494154,458616,1042,398236
2020-12-17,1739838,57814,318617,499446,463020,1045,399896
2020-12-18,1752862,58310,319997,505288,466924,1047,401296
2020-12-19,1764110,58759,321377,509961,470463,1047,402503
2020-12-20,1772475,59099,322887,513388,472663,1047,403391
2020-12-21,1781954,59528,324333,517379,475128,1051,404535
2020-12-22,1795829,60057,325781,523155,479600,1051,406185
2020-12-23,1809564,60877,327191,528831,483964,1052,407649
2020-12-24,1821769,61431,328581,533834,487925,1053,408945
2020-12-25,1830775,61955,329898,537636,490262,1053,409971
2020-12-26,1838708,62374,331122,540821,492527,1053,410811
2020-12-27,1846821,62806,332531,544147,494543,1054,411740
2020-12-28,1856357,63351,333828,548138,497115,1059,412866
2020-12-29,1871321,64068,335220,554415,501993,1059,414566
2020-12-30,1886739,64769,336635,560741,507112,1060,416422
2020-12-31,1900225,65468,337852,566195,511486,1060,418164
2021-01-01,1910377,66126,338978,570410,514559,1060,419244
2021-01-02,1919212,66641,340112,573693,517587,1060,420119
2021-01-03,1927168,67246,341277,577038,519536,1060,421011
2021-01-04,1937118,67930,342345,581120,522446,1067,422210
2021-01-05,1952522,68751,343576,587693,527331,1067,424104
2021-01-06,1967443,69861,344644,593093,532631,1067,426147
2021-01-07,1982396,70550,345786,598529,537971,1067,428493
2021-01-08,1997604,71460,346682,604513,543456,1068,430425
2021-01-09,2010956,72117,347982,609472,548030,1068,432287
2021-01-10,2020501,72711,348954,613406,550843,1069,433518
2021-01-11,2030779,73392,349949,617847,553607,1071,434913
2021-01-12,2047759,74467,351333,624379,559596,1071,436913
2021-01-13,2064238,75688,352665,630662,565132,1071,439020
2021-01-14,2079948,76741,353828,636938,570199,1073,441169
2021-01-15,2095658,77646,355030,643273,575405,1073,443231
2021-01-16,2109687,78308,356139,648567,580402,1073,445198
2021-01-17,2119510,78906,357186,652548,583097,1073,446700
2021-01-18,2129953,79632,358257,657049,585497,1074,448444
2021-01-19,2145658,80834,359481,663713,589767,1074,450789
2021-01-20,2163380,81756,360670,670559,596026,1074,453295
2021-01-21,2180697,82782,361916,676868,602209,1075,455847
2021-01-22,2196751,83755,362966,683030,607733,1075,458192
2021-01-23,2211314,84537,364013,688186,612974,1075,460529
2021-01-24,2221072,85184,365036,691944,615536,1075,462297
2021-01-25,2232194,85955,366154,696560,618232,1076,464217
2021-01-26,2249573,86938,367376,703039,624223,1078,466919
2021-01-27,2266480,87989,368640,709151,630136,1078,469486
2021-01-28,2283047,88985,370001,715121,635796,1078,472066
2021-01-29,2298766,89831,370969,721161,641061,1078,474666
2021-01-30,2312088,90445,372239,725745,645670,1078,476911
2021-01-31,2321623,90970,373325,729214,648257,1078,478779
2021-02-01,2331867,91479,374309,733534,650830,1079,480636
2021-02-02,2346718,92363,375428,739713,654993,1079,483142
2021-02-03,2362573,93073,376433,745494,660851,1080,485642
2021-02-04,2375496,93640,377453,750309,665030,1080,487984
2021-02-05,2392671,94187,378366,756256,671982,1080,490800
2021-02-06,2404528,94734,379234,760270,676425,1080,492785
2021-02-07,2412294,95091,380111,763152,678477,1081,494382
2021-02-08,2421846,95535,381004,767095,680660,1083,496469
2021-02-09,2436581,96234,381941,772508,685623,1083,499192
2021-02-10,2450433,96770,382910,777584,690525,1083,501561
2021-02-11,2464306,97265,383746,782418,695383,1083,504411
2021-02-12,2477181,97830,384628,787019,699722,1083,506899
2021-02-13,2487865,98181,385486,790486,703358,1083,509271
2021-02-14,2494967,98475,386286,792980,705092,1083,511051
2021-02-15,2502779,98945,386987,796338,706626,1083,512800
2021-02-16,2513874,99410,387908,800749,709752,1085,514970
2021-02-17,2525225,99812,388773,804857,713360,1085,517338
2021-02-18,2537209,100325,389635,808813,717152,1085,520199
2021-02-19,2548857,100709,390553,812890,720711,1086,522908
2021-02-20,2557967,100999,391461,815884,723596,1086,524941
2021-02-21,2564743,101336,392245,818004,725244,1086,526828
2021-02-22,2571994,101671,392999,820716,727045,1087,528476
2021-02-23,2583470,102142,393944,824668,730686,1087,530943
2021-02-24,2595907,102468,395450,828368,735054,1089,533478
2021-02-25,2606809,102825,396402,831771,738482,1090,536239
2021-02-26,2617360,103142,397370,835386,741515,1090,538857
2021-02-27,2626090,103481,398153,838235,743946,1090,541185
2021-02-28,2632587,103706,398982,840275,745590,1090,542944
2021-03-01,2640193,104021,399719,842914,747447,1092,545000
2021-03-02,2650417,104384,400599,846455,750499,1093,547387
2021-03-03,2661918,104660,401422,850258,754038,1093,550447
2021-03-04,2672379,104991,402230,853677,756898,1093,553490
2021-03-05,2682855,105216,403177,857407,759433,1095,556527
2021-03-06,2691162,105481,403869,860099,761802,1095,558816
2021-03-07,2697242,105712,404559,862056,762844,1095,560976
2021-03-08,2704417,106091,405510,864750,763981,1096,562989
2021-03-09,2714911,106380,406351,868146,766723,1096,566215
2021-03-10,2725045,106681,407152,871756,769062,1096,569298
2021-03-11,2735259,107004,407969,875244,771363,1101,572578
2021-03-12,2745105,107232,408850,878566,773597,1101,575759
2021-03-13,2753714,107526,409663,881446,775283,1101,578695
2021-03-14,2759631,107777,410468,883507,776078,1101,580700
2021-03-15,2767167,108086,411310,886268,777121,1106,583276
2021-03-16,2777780,108394,412289,889928,778655,1106,587408
2021-03-17,2788370,108671,413161,893606,780753,1106,591073
2021-03-18,2799090,108932,414125,896917,783175,1111,594830
2021-03-19,2809880,109477,415063,900263,784928,1116,599033
2021-03-20,2818666,109674,415945,903116,786391,1116,602424
2021-03-21,2827221,109903,419124,905319,787390,1117,604368
2021-03-22,2835187,110163,420177,908533,788248,1117,606949
2021-03-23,2846643,110485,421246,912494,790104,1118,611196
2021-03-24,2857257,110805,422368,916119,792234,1121,614610
2021-03-25,2868811,111193,423484,920266,794249,1122,618497
2021-03-26,2881584,111535,424591,924804,796175,1122,623357
2021-03-27,2891795,111728,425760,927789,797635,1123,627760
2021-03-28,2899079,111911,426924,929944,798327,1129,630844
2021-03-29,2907703,112225,428070,932782,799256,1133,634237
2021-03-30,2919593,112502,429327,936664,801057,1140,638903
2021-03-31,2932520,112755,430796,940771,802791,1144,644263
2021-04-01,2944797,113165,432221,944598,804446,1144,649223
2021-04-02,2955444,113411,433831,948345,805609,1144,653104
2021-04-03,2964784,113579,435327,951634,806589,1144,656511
2021-04-04,2972213,113851,437112,954026,807108,1145,658971
2021-04-05,2980467,114081,438601,956644,807910,1151,662080
2021-04-06,2992874,114317,440697,959697,809460,1151,667552
2021-04-07,3008222,114584,442691,964332,812785,1152,672678
2021-04-08,3022514,114935,444701,968771,814459,1152,678496
2021-04-09,3036860,115198,446940,973296,816403,1153,683870
2021-04-10,3049868,115421,449072,976716,819443,1153,688063
2021-04-11,3058990,115710,451378,979108,819961,1153,691680
2021-04-12,3068895,115970,453684,982128,820908,1155,695050
2021-04-13,3082655,116377,456118,986118,822499,1155,700388
2021-04-14,3096723,116745,458570,990462,824123,1157,705666
2021-04-15,3110381,117059,461268,994358,825589,1168,710939
2021-04-16,3123729,117366,464056,998139,827078,1168,715922
2021-04-17,3136343,117646,466972,1001281,828459,1168,720817
2021-04-18,3145460,117898,470339,1003453,829013,1175,723582
2021-04-19,3156593,118197,473679,1006383,829758,1177,727399
2021-04-20,3170862,118608,477378,1010100,831314,1177,732285
2021-04-21,3185617,118919,481182,1014107,832891,1178,737340
2021-04-22,3199530,119225,485131,1017751,834545,1186,741692
2021-04-23,3214790,119603,489404,1021350,835899,1186,747348
2021-04-24,3227922,119840,493763,1024368,837103,1189,751659
2021-04-25,3238676,120131,498357,1026390,837632,1189,754977
2021-04-26,3250309,120427,502850,1028950,838408,1192,758482
2021-04-27,3265310,120793,507843,1032501,839675,1192,763306
2021-04-28,3281256,121133,513182,1036028,841176,1194,768543
2021-04-29,3296996,121529,518385,1039270,842778,1194,773840
2021-04-30,3311419,121782,523561,1042293,844199,1196,778388
2021-05-01,3324459,122066,528743,1044863,845335,1204,782248
2021-05-02,3334785,122297,533860,1046431,845824,1204,785169
2021-05-03,3346470,122554,538889,1048397,846629,1204,788797
2021-05-04,3360562,122889,544095,1050904,848058,1210,793406
2021-05-05,3375467,123233,549775,1053754,849327,1210,798168
2021-05-06,3389974,123616,555370,1056595,850467,1211,802715
2021-05-07,3404436,123905,561086,1059379,851907,1211,806948
2021-05-08,3417765,124137,566675,1061762,852947,1211,811033
2021-05-09,3428239,124394,572263,1063342,853382,1211,813647
2021-05-10,3439331,124745,577770,1065131,854100,1211,816374
2021-05-11,3453491,125059,583647,1067609,855290,1220,820666
2021-05-12,3467627,125365,589312,1070144,856550,1220,825036
2021-05-13,3481067,125595,594772,1072434,857775,1224,829267
2021-05-14,3494095,125846,599991,1074616,858835,1227,833580
2021-05-15,3506379,126086,605388,1076467,859749,1227,837462
2021-05-16,3516673,126309,611094,1077670,860187,1227,840186
2021-05-17,3528002,126567,617022,1079107,860823,1227,843256
2021-05-18,3542079,126889,623222,1081222,862078,1227,847441
2021-05-19,3555527,127244,628698,1083292,863004,1232,852057
2021-05-20,3568704,127614,634383,1085142,864116,1245,856204
2021-05-21,3581680,127986,640036,1086900,865076,1245,860437
2021-05-22,3593125,128195,645130,1088379,866034,1245,864142
2021-05-23,3602987,128396,650763,1089404,866371,1245,866808
2021-05-24,3612137,128676,655648,1090457,867092,1247,869017
2021-05-25,3625118,128955,661072,1092191,868170,1247,873483
2021-05-26,3637924,129259,666229,1093991,869607,1251,877587
2021-05-27,3650863,129549,671208,1095620,871535,1254,881697
2021-05-28,3662884,129849,676206,1097075,872640,1254,885860
2021-05-29,3673692,130102,680900,1098348,873471,1254,889617
2021-05-30,3682091,130303,685408,1099188,873745,1254,892193
2021-05-31,3690787,130634,689423,1100165,874222,1254,895089
2021-06-01,3706001,130954,693804,1101486,879271,1254,899232
2021-06-02,3717922,131265,698116,1102851,880306,1254,904130
2021-06-03,3728082,131516,702192,1104153,881291,1254,907676
2021-06-04,3738741,131794,706876,1105424,882179,1254,911214
2021-06-05,3748152,132052,710745,1106473,883059,1256,914567
2021-06-06,3755458,132300,714513,1107269,883369,1256,916751
2021-06-07,3763535,132578,717799,1108079,883887,1256,919936
2021-06-08,3774190,132992,721292,1109604,884626,1256,924420
2021-06-09,3784371,133356,724728,1110853,885556,1256,928622
2021-06-10,3800352,133674,733252,1112111,886323,1256,933736
2021-06-11,3812092,134054,738516,1113211,887234,1256,937821
