Date,World,Africa,Asia,Europe,North_America,Oceania,South_America
13/05/2020,84392,2914,16977,20403,24029,9,20060
14/05/2020,95635,3118,20621,20581,30073,31,21211
15/05/2020,96312,2926,17779,20419,29512,16,25660
16/05/2020,93897,3003,19775,17635,28063,10,25411
17/05/2020,78324,3314,20804,16430,22487,10,15279
18/05/2020,89132,3668,20663,17012,26860,14,20915
19/05/2020,95810,3220,22170,18281,25505,8,26626
20/05/2020,105420,3791,22600,18225,27027,9,33768
21/05/2020,106044,4799,24248,17644,30411,15,28927
22/05/2020,107247,3868,24228,18577,29057,4,31513
23/05/2020,104086,3865,24387,16945,25374,15,33500
24/05/2020,93639,4120,24067,14763,25604,0,25085
25/05/2020,88577,4128,21801,14595,23886,12,24155
26/05/2020,92358,3711,20302,16156,23965,13,28211
27/05/2020,102542,5080,23867,15122,24539,11,33923
28/05/2020,119992,4916,25937,20059,27066,16,41998
29/05/2020,121471,5746,28857,16604,30604,19,39641
30/05/2020,135028,6118,27575,17091,27992,8,56244
31/05/2020,102853,5247,29204,14527,24221,10,29644
1/06/2020,100267,5785,28132,14826,22915,20,28589
2/06/2020,123365,4878,30561,14584,25797,8,47537
3/06/2020,114466,5097,33402,15188,25111,11,35657
4/06/2020,138307,7106,32145,19783,34899,7,44367
5/06/2020,133557,7186,33116,16561,32663,5,44026
6/06/2020,129320,6599,34439,15795,25988,7,46492
7/06/2020,110975,6334,34598,14693,23406,6,31938
8/06/2020,103011,6651,31146,14842,22170,2,28200
9/06/2020,125966,6470,33720,15284,26886,8,43598
10/06/2020,137184,6545,36770,15799,29366,11,48693
11/06/2020,136163,7403,37847,16534,30152,4,44223
12/06/2020,127445,8079,32692,16734,33651,5,36284
13/06/2020,133843,8087,38924,15950,30532,26,40324
14/06/2020,131892,8780,44961,14721,26094,15,37321
15/06/2020,124873,9593,37282,13989,26350,14,37645
16/06/2020,143781,7642,37861,15510,31797,23,50948
17/06/2020,143061,8736,41703,15914,34986,22,41700
18/06/2020,143019,8235,40936,16304,37353,18,40173
19/06/2020,181049,9813,43051,16105,39327,4,72749
20/06/2020,185797,11349,41783,14757,40298,52,77558
21/06/2020,112782,9437,39878,13311,34377,15,15764
22/06/2020,142240,8987,40566,13494,37903,21,41269
23/06/2020,168136,9076,42397,14830,48376,30,53427
24/06/2020,171414,11349,43820,15289,44724,41,56191
25/06/2020,179415,11942,44332,14820,49372,38,58911
26/06/2020,192404,11598,46174,15332,57614,9,61677
27/06/2020,176335,12237,46469,14090,49298,89,54152
28/06/2020,168765,10608,46977,12066,51227,82,47805
29/06/2020,152627,11130,44463,12701,48814,70,35449
30/06/2020,183632,11608,46546,12845,59339,86,53208
1/07/2020,215051,13213,66722,13050,59282,83,62701
2/07/2020,204848,14202,50629,13469,66428,65,60055
3/07/2020,202553,15160,50802,13892,63268,194,59237
4/07/2020,189591,15485,53728,12686,57823,186,49683
5/07/2020,186037,13635,56186,11509,63748,142,40817
6/07/2020,168127,13740,50063,13151,52801,176,38196
7/07/2020,209383,17466,50241,11931,67420,132,62193
